"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/Q99928,Q99928,GABRG3,"Gamma-aminobutyric acid receptor subunit gamma-3","GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",Tclin,"GABRG3 sub-subfamily","ligand-gated ion channel",-0.9868282444319566,"Ion Channel",985,87,31,32.39,8.48,11.18,26566883|24709693|23535033|22969067|20583128|20468064|20436377|20398908|20379614|19874574|19736351|19727025|19598235|19086053|19078961|19058789|19019179|18516948|18334916|17957331|16674551|16572171|16080114|15489334|14981720|14745296|12477932|11948245|11329013|10891602|10414349|8719414|8175718|7601451
https://pharos.nih.gov/idg/targets/P28472,P28472,GABRB3,"Gamma-aminobutyric acid receptor subunit beta-3","Component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the vertebrate brain. Functions also as histamine receptor and mediates cellular responses to histamine. Functions as receptor for diazepines and various anesthetics, such as pentobarbital; these are bound at a separate allosteric effector binding site. Functions as ligand-gated chloride channel.",Tclin,"GABRB3 sub-subfamily","ligand-gated ion channel",-2.1320472221126816,"Ion Channel",2715,202,102,43.54,135.99,138.85,28544625|28053010|27864847|27476654|26993267|26950270|25356899|25211390|25086038|25025424|24909990|24865167|24755890|24722188|24709693|24249596|24199598|23934111|23677991|23438326|22812221|22414661|22303015|22243422|22080424|21908847|20843900|20834067|20634891|20550555|20468064|20379614|20308251|19937600|19935738|19874574|19736351|19734545|19717274|19598235|19430570|19268543|19086053|19078961|19058789|18978678|18837046|18821008|18650446|18514161|18452349|18358985|18281286|18085588|17957331|17880575|17471287|17339270|17326191|17272867|17230033|17225872|17215107|17124266|16835263|16712791|16674551|16572171|16537435|16344560|16080114|16023997|15767729|15615769|15489334|15337300|15318112|15296817|15066703|15028279|14724252|14702039|14503638|12973656|12640458|12595241|12491987|12477932|12367595|12225856|12189488|12048673|11711165|11140838|11085308|10515160|10514831|10023064|9328477|9126483|9039914|8389098|8382702|8175718|8136833|1714232|1664410|1346439
https://pharos.nih.gov/idg/targets/P17787,P17787,CHRNB2,"Neuronal acetylcholine receptor subunit beta-2","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane permeable to sodiun ions.",Tclin,"Beta-2-CHRNB2 sub-subfamily","ligand-gated ion channel",-1.624481418895063,"Ion Channel",1636,174,110,35.31,37.56,51.33,28446611|27895161|27698419|27645992|27493220|27445102|27344019|26904947|26858154|26644472|25869137|25640319|25068303|24982426|24850280|23734673|23437071|23429692|23037950|23000369|22553201|22361591|22359659|21757735|21606948|21536845|21451042|21396349|21287502|21252231|20943775|20923852|20881005|20880607|20854418|20736995|20734064|20677014|20649589|20603624|20574532|20534741|20441771|20438829|20413850|20371741|20231857|19874574|19755656|19620239|19482438|19279256|19259974|19156168|19101612|19086053|19063970|19059502|19058950|18991851|18830724|18762859|18593715|18534914|18534558|18387948|18242781|18226955|18043764|17900292|17559419|17385675|17373692|17226798|17192785|16928859|16636791|16407231|16314871|16183856|16174636|16120769|16023355|15964197|15944128|15681842|15609996|15489334|15154117|15046869|15033200|15026168|12681012|12663058|12477932|12214130|12202488|12189247|12185808|11906688|11771745|11261808|11104662|11062464|11054772|10771020|10441742|9921897|9009220|8987816|8906617|8663494|2377478|1505988
https://pharos.nih.gov/idg/targets/Q9UN88,Q9UN88,GABRQ,"Gamma-aminobutyric acid receptor subunit theta","GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",Tclin,"GABRQ sub-subfamily","ligand-gated ion channel",-0.8309092878204924,"Ion Channel",,66,15,24.40,6.58,7.16,23382219|23169495|22690081|21422964|20468064|19874574|19087248|19086053|19078961|15772651|15489334|12477932|10804200|10449790|10414349|8828036
https://pharos.nih.gov/idg/targets/P02708,P02708,CHRNA1,"Acetylcholine receptor subunit alpha","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane.",Tclin,"Alpha-1-CHRNA1 sub-subfamily","ligand-gated ion channel",-1.6639982178749455,"Ion Channel",1806,307,62,32.96,41.70,99.37,27649498|27375219|26656837|26354438|25888793|25670150|25279974|24376846|24121633|23775407|23448903|23232035|22728938|20734064|20661225|20628086|20379614|20201926|19913121|19760673|19690332|19307444|19259974|19086053|19059502|19010884|18806275|18625075|18252226|18179903|17687331|17373692|17082486|17028140|16685696|16435141|15609996|15079006|15028279|14702039|12928480|12588888|12477932|10958399|10910772|10195214|9546329|9221765|9158151|8910344|8872460|8441631|8334706|7902325|7863154|7725386|7695910|7619526|7254233|6688857|3651795|3338555|2449458|2221824|1712080|1694127
https://pharos.nih.gov/idg/targets/P48169,P48169,GABRA4,"Gamma-aminobutyric acid receptor subunit alpha-4","GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",Tclin,"GABRA4 sub-subfamily","ligand-gated ion channel",-1.2862246128364476,"Ion Channel",1035,291,34,30.55,17.69,17.57,26239769|24778259|24722188|24431441|23937595|23561058|22273344|21422964|20628086|20602615|20468064|19913121|19874574|19834535|19736351|19289452|19207358|19078961|18482426|18334916|17135278|17124266|16959974|16770606|16080114|15815621|15489334|15028279|14702039|12477932|12242096|12091471|10903861|10414349|8719416|8175718|7607683
https://pharos.nih.gov/idg/targets/O95264,O95264,HTR3B,"5-hydroxytryptamine receptor 3B","This is one of the several different receptors for 5-hydroxytryptamine (serotonin), a biogenic hormone that functions as a neurotransmitter, a hormone, and a mitogen. This receptor is a ligand-gated ion channel, which when activated causes fast, depolarizing responses. It is a cation-specific, but otherwise relatively nonselective, ion channel.",Tchem,"5-HT3 receptor sub-subfamily","ligand-gated ion channel",-1.6675282117867367,"Ion Channel",3068,91,71,24.08,42.02,63.25,28002447|27773795|27706728|27488933|26256989|25951416|25217961|24880582|24590108|24244382|23972841|23897038|23810831|23786674|23757001|23489111|23464988|23290502|22832903|21840870|21184810|21179162|21138434|20838391|20628086|20602615|20602613|20538960|20356718|20351714|20168265|20075642|20021265|19913121|19874574|19794330|19741568|19713259|19328558|19185213|19156168|19086053|19058789|19008750|18982004|18937842|18807291|18698232|18518925|18389280|18300944|18187416|18184810|18079067|17697394|17392525|17010535|16874005|16571125|16534507|16487942|16314763|15887114|15389765|15293096|15115912|14702039|14557147|12867984|12775740|12750374|12363396|12359150|10521471|9950429
https://pharos.nih.gov/idg/targets/P14867,P14867,GABRA1,"Gamma-aminobutyric acid receptor subunit alpha-1","Component of the heteropentameric receptor for GABA, the major inhibitory neurotransmitter in the vertebrate brain. Functions also as histamine receptor and mediates cellular responses to histamine. Functions as receptor for diazepines and various anesthetics, such as pentobarbital; these are bound at a separate allosteric effector binding site. Functions as ligand-gated chloride channel (By similarity).",Tclin,"GABRA1 sub-subfamily","ligand-gated ion channel",-1.7998403276806985,"Ion Channel",2369,301,121,37.29,58.41,97.18,28361821|27864847|27855134|27613244|27521439|27245092|27080428|26945068|26918889|26518133|26321868|26249742|26016529|25675822|25453062|25437558|25086038|24923912|24623842|24199598|23917429|23756480|23677991|23372267|23308109|23266428|22883737|22563490|22470130|22393585|22243422|22214903|22080424|22038115|21903587|21751815|21729720|21714819|21677653|21343285|21209255|21057732|20940303|20848605|20843900|20692323|20628086|20583128|20551311|20468064|20427410|20356767|20132297|20083606|19944766|19913121|19705103|19219857|19086053|19078961|18922788|18821008|18818659|18723504|18639864|18534981|18292428|18197653|17972043|17880575|17670950|17440936|17360668|17011586|16839746|16792556|16778401|16770606|16718694|16627470|16569738|16530959|16412095|16344560|16294320|16172613|16123039|16029191|15955415|15542698|15489334|15201329|15196679|15033447|15016806|14996540|14961561|14706423|14631097|14625018|14569258|12645817|12529644|12477932|12367612|12367595|12232773|12225856|12210273|12091471|11992121|11140838|10512150|10449790|10050966|9655866|9039914|8175718|8133292|8125298|2847710|2465923|1330891
https://pharos.nih.gov/idg/targets/P36544,P36544,CHRFAM7A,"Neuronal acetylcholine receptor subunit alpha-7","After binding acetylcholine, the AChR responds by an extensive change in conformation that affects all subunits and leads to opening of an ion-conducting channel across the plasma membrane. The channel is blocked by alpha-bungarotoxin.",Tchem,"Alpha-7-CHRNA7 sub-subfamily","ligand-gated ion channel",-1.8117325964972963,"Ion Channel",6150,226,27,0.00,87.74,11.50,27344019|26567012|26206074|25681457|25473097|24787912|24024466|23553139|22300029|20926142|20351714|19641318|19631623|19462340|19149910|19082523|17192894|17012698|16823804|16572171|16417613|16120769|15885267|15609996|15504725|15489334|14729617|14702039|12477932|11840567|11829490|11424985|9782083|9009220|8906617|8188270|8145738
https://pharos.nih.gov/idg/targets/P31644,P31644,GABRA5,"Gamma-aminobutyric acid receptor subunit alpha-5","GABA, the major inhibitory neurotransmitter in the vertebrate brain, mediates neuronal inhibition by binding to the GABA/benzodiazepine receptor and opening an integral chloride channel.",Tclin,"GABRA5 sub-subfamily","ligand-gated ion channel",-1.5757830484315885,"Ion Channel",1273,189,43,33.03,34.20,34.56,26876472|26169564|25663431|25660468|25211390|24755890|24227714|22546616|22020285|21751815|20843900|20692323|20628086|20468064|19913121|19736351|19328558|19086053|19078961|19058789|17957331|17680603|17580321|17370265|17353214|16674551|16344560|16080114|15882799|15489334|15033447|14702039|12477932|12048673|11378843|11287792|11140838|9668167|9205108|9126483|8388764|7851879|1338907|1321750
