"URL","Uniprot ID","Name","Source","Link"
https://pharos.nih.gov/idg/targets/P30939,P30939,"Serotonergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04726
https://pharos.nih.gov/idg/targets/P30939,P30939,"cAMP signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04024
https://pharos.nih.gov/idg/targets/P30939,P30939,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P30939,P30939,"Taste transduction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04742
https://pharos.nih.gov/idg/targets/P30939,P30939,http://identifiers.org/panther.pathway/P00026,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P30939,P30939,http://identifiers.org/panther.pathway/P04373,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P30939,P30939,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P30939,P30939,"Amine ligand-binding receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-375280
https://pharos.nih.gov/idg/targets/P30939,P30939,"Class A/1 (Rhodopsin-like receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-373076
https://pharos.nih.gov/idg/targets/P30939,P30939,"G alpha (i) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-418594
https://pharos.nih.gov/idg/targets/P30939,P30939,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/P30939,P30939,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/P30939,P30939,"Serotonin receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-390666
https://pharos.nih.gov/idg/targets/P30939,P30939,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/P30939,P30939,"GPCRs, Class A Rhodopsin-like","WikiPathways Pathway",http://www.wikipathways.org/instance/WP455_r81793
https://pharos.nih.gov/idg/targets/P30939,P30939,"Monoamine GPCRs","WikiPathways Pathway",http://www.wikipathways.org/instance/WP58_r96087
https://pharos.nih.gov/idg/targets/P30939,P30939,"GPCRs, Other","WikiPathways Pathway",http://www.wikipathways.org/instance/WP117_r82985
https://pharos.nih.gov/idg/targets/P41595,P41595,"Serotonergic synapse","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04726
https://pharos.nih.gov/idg/targets/P41595,P41595,"Neuroactive ligand-receptor interaction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04080
https://pharos.nih.gov/idg/targets/P41595,P41595,"Gap junction","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04540
https://pharos.nih.gov/idg/targets/P41595,P41595,"Inflammatory mediator regulation of TRP channels","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04750
https://pharos.nih.gov/idg/targets/P41595,P41595,"Calcium signaling pathway","KEGG Pathway",http://www.kegg.jp/kegg-bin/show_pathway?hsa04020
https://pharos.nih.gov/idg/targets/P41595,P41595,http://identifiers.org/panther.pathway/P00026,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41595,P41595,http://identifiers.org/panther.pathway/P04374,"PathwayCommons: panther Pathway",null
https://pharos.nih.gov/idg/targets/P41595,P41595,"Signal Transduction","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-162582
https://pharos.nih.gov/idg/targets/P41595,P41595,"Amine ligand-binding receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-375280
https://pharos.nih.gov/idg/targets/P41595,P41595,"Class A/1 (Rhodopsin-like receptors)","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-373076
https://pharos.nih.gov/idg/targets/P41595,P41595,"GPCR downstream signalling","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-388396
https://pharos.nih.gov/idg/targets/P41595,P41595,"GPCR ligand binding","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-500792
https://pharos.nih.gov/idg/targets/P41595,P41595,"Serotonin receptors","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-390666
https://pharos.nih.gov/idg/targets/P41595,P41595,"Signaling by GPCR","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-372790
https://pharos.nih.gov/idg/targets/P41595,P41595,"G alpha (q) signalling events","Reactome Pathway",http://www.reactome.org/content/detail/R-HSA-416476
https://pharos.nih.gov/idg/targets/P41595,P41595,"GPCRs, Class A Rhodopsin-like","WikiPathways Pathway",http://www.wikipathways.org/instance/WP455_r81793
