"URL","Uniprot ID","Keyword","Link"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"Ubl conjugation",http://www.uniprot.org/keywords/KW-0832
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"Cell cycle",http://www.uniprot.org/keywords/KW-0131
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Apoptosis,http://www.uniprot.org/keywords/KW-0053
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,Proto-oncogene,http://www.uniprot.org/keywords/KW-0656
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Metal-binding,http://www.uniprot.org/keywords/KW-0479
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Nucleus,http://www.uniprot.org/keywords/KW-0539
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"Translation regulation",http://www.uniprot.org/keywords/KW-0810
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Nucleus,http://www.uniprot.org/keywords/KW-0539
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Repeat,http://www.uniprot.org/keywords/KW-0677
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Acetylation,http://www.uniprot.org/keywords/KW-0007
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,Lipid-binding,http://www.uniprot.org/keywords/KW-0446
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Metal-binding,http://www.uniprot.org/keywords/KW-0479
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Cytoskeleton,http://www.uniprot.org/keywords/KW-0206
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Cell membrane",http://www.uniprot.org/keywords/KW-1003
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Developmental protein",http://www.uniprot.org/keywords/KW-0217
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Differentiation,http://www.uniprot.org/keywords/KW-0221
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Alternative promoter usage",http://www.uniprot.org/keywords/KW-0877
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,Lipid-binding,http://www.uniprot.org/keywords/KW-0446
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,"Wnt signaling pathway",http://www.uniprot.org/keywords/KW-0879
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Metal-binding,http://www.uniprot.org/keywords/KW-0479
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Methylation,http://www.uniprot.org/keywords/KW-0488
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Magnesium,http://www.uniprot.org/keywords/KW-0460
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q9Y2K2,Q9Y2K2,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q13555,Q13555,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q13555,Q13555,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Developmental protein",http://www.uniprot.org/keywords/KW-0217
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Differentiation,http://www.uniprot.org/keywords/KW-0221
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Neurogenesis,http://www.uniprot.org/keywords/KW-0524
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Kinase,http://www.uniprot.org/keywords/KW-0418
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Serine-threonine-protein kinase",http://www.uniprot.org/keywords/KW-0723
https://pharos.nih.gov/idg/targets/Q13555,Q13555,Calmodulin-binding,http://www.uniprot.org/keywords/KW-0112
https://pharos.nih.gov/idg/targets/Q13555,Q13555,"Sarcoplasmic reticulum",http://www.uniprot.org/keywords/KW-0703
https://pharos.nih.gov/idg/targets/Q13554,Q13554,"Complete proteome",http://www.uniprot.org/keywords/KW-0181
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Polymorphism,http://www.uniprot.org/keywords/KW-0621
https://pharos.nih.gov/idg/targets/Q13554,Q13554,"Reference proteome",http://www.uniprot.org/keywords/KW-1185
https://pharos.nih.gov/idg/targets/Q13554,Q13554,"Alternative splicing",http://www.uniprot.org/keywords/KW-0025
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Cytoplasm,http://www.uniprot.org/keywords/KW-0963
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Cytoskeleton,http://www.uniprot.org/keywords/KW-0206
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Phosphoprotein,http://www.uniprot.org/keywords/KW-0597
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Membrane,http://www.uniprot.org/keywords/KW-0472
https://pharos.nih.gov/idg/targets/Q13554,Q13554,3D-structure,http://www.uniprot.org/keywords/KW-0002
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Transferase,http://www.uniprot.org/keywords/KW-0808
https://pharos.nih.gov/idg/targets/Q13554,Q13554,ATP-binding,http://www.uniprot.org/keywords/KW-0067
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Nucleotide-binding,http://www.uniprot.org/keywords/KW-0547
https://pharos.nih.gov/idg/targets/Q13554,Q13554,"Developmental protein",http://www.uniprot.org/keywords/KW-0217
https://pharos.nih.gov/idg/targets/Q13554,Q13554,Differentiation,http://www.uniprot.org/keywords/KW-0221
