"URL","Uniprot ID","PMID","Abstract"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,28729093,"These results demonstrate the involvement of PIM kinases in LIF-induced regulation in different trophoblastic cell lines which may indicate similar functions in primary cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,28698206,"PIM kinases in classical Hodgkin lymphoma exhibit pleiotropic effects, orchestrating tumor immune escape and supporting Reed-Sternberg cell survival."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,28214201,"Our study suggests that up-regulation of Pim-3 successfully accelerated Chronic Obstructive Pulmonary Disease development, and aggravated lung damage"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27826617,"High PIM3 expression is associated with osteosarcoma."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27826135,"The expression status of Pim-3 mRNA was significantly associated with pathological parameters such as pre-surgery prostate specific antigen, Gleason score, pathological stage, and lymphoid metastasis."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27638830,"Pim-3 expression was inversely correlated with that of miR-377."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27525970,"SSRP1/Ets-1/Pim-3 signalling is tightly associated with the proliferation, apoptosis, autophagy, invasion and clonogenicity of nasopharyngeal carcinoma cells, and blockage of this signalling facilitates chemosensitivity of the cells to docetaxel."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27448973,"show that PIM1 contributes to melanoma cell proliferation and tumor growth in vivo; however, the presence of PIM2 and PIM3 could also influence the outcome."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,27016481,"Pim-3 has a role in human pancreatic cancer cell survival against radiation"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,26768612,"Pim-3 expression showed a positive correlation with tumor cell differentiation."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,26551340,"A high percentage of urothelial carcinomas express Pim kinases. Pim expression differs in NILG, NIHG, and IHG lesions."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,26238203,"MicroRNA506 participates in pancreatic cancer pathogenesis by targeting PIM3"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,26075720,"Pim-3 kinase enhances growth and metastatic properties of prostate cancer xenografts. PC-3 prostate cancer cells overexpressing either Pim-1 or Pim-3 kinases form larger xenograft tumors than the parental PC-3 cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,25921139,"PIM3 expression is higher in ovarian cancer than in normal ovarian tissue. Upregulation of PIM3 promotes proliferation and migration of ovarian cancer cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,25817345,"Knockdown of Pim-3 by specific shRNA slowed decreased proliferation, induced cell cycle arrest in the G0/G1 phase, and increased apoptosis in glioblastoma cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,25238262,"Data demonstrate the role of PIM kinases in driving myeloid leukemia, and as candidate molecules for therapy against human malignancies."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,24799066,"Blocking the activities of PIM kinases(PIM1, PIM2 and PIM3) could prevent pancreatic cancer development. PIM kinases(PIM1, PIM2 and PIM3) may be a novel target for cancer therapy"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,24789328,"cancer development and in promoting tumor neovascularization and subsequent tumor growth. Targeting Pim-3 may play a dual role in halting tumor progression, by promoting tumor cell death and blocking angiogenesis"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,24723452,"we constructed a dual-function small hairpin RNA (shRNA) vector containing an shRNA targeting Pim-3 and a TLR7-stimulating ssRNA."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,24488669,"the existence of different patterns of expression of Pim-3, c-Myc, and p-p27 and their clinicopathologic correlations in adenocarcinomas of the gastric cardia and the distal stomach."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,24165482,"observations indicate that TCTP enhances Pim-3 stability to simultaneously promote and prevent cell-cycle progression and apoptosis, respectively"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,23845873,"Pim-3 can promote pancreatic tumor growth and angiogenesis by stimulating the VEGF pathway."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,23760491,"Pim-1 and Pim-3 play overlapping but non-identical roles as it relates to gemcitabine sensitivity of pancreatic cancer cells and Pim-3 is upregulated in pancreatic ductal carcinoma."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,23209281,"PIM kinases promote the production of IFNgamma, the hallmark cytokine produced by Th1 cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,22282239,"Our study indicates that the expression of Pim kinases is physiologically related to DNA-PKcs and ATM in ECs."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,21870113,"Pim protein kinase-3 is regulated by TNF-alpha and promotes endothelial cell sprouting."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,21646687,"Pim3 cooperates with other Pim kinases in supporting viability of Myc-induced B-cell lymphomas."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,21187426,"Pim-3 has an important role in modulating c-Myc and PGC-1alpha protein levels and cell growth"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,20939820,"A cell-based test system useful for rapid and inexpensive pre-screening of compounds capable of preventing Pim-mediated phosphorylation is discussed."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,20101231,"Pim-3 alone cannot cause, but can accelerate HCC development."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,19624871,"Ginsenoside Rg3 decreased both Pim-3 and pBad expressions in a dose-dependent manner in PANC-1 cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,19266083,"expression of Pim-1 & Pim-3 is induced in response reactivation in KSHV-infected cells; they are required for KSHV reactivation under these conditions; data indicate Pim-1 & Pim-3 contribute to viral reactivation by phosphorylating the KSHV LANA"
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,19154409,"Ets-1 can induce aberrant Pim-3 expression and subsequently prevent apoptosis in human pancreatic cancer cells."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,18593906,"Pim kinases promote cell cycle progression and tumorigenesis by down-regulating p27(Kip1) expression at both transcriptional and posttranslational levels."
https://pharos.nih.gov/idg/targets/Q86V86,Q86V86,15540201,"Aberrnntly expressed Pim-3 can cause autonomous cell proliferation or prevent apoptosis in hepatoma cell lines."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,27900644,"Elevated levels of p-Mnk1, p-eIF4E and p-p70S6K proteins are associated with tumor recurrence and poor prognosis in astrocytomas. Overexpression of p-eIF4E and co-expression of p-Mnk1, p-eIF4E and p-p70S6K proteins could be used as novel independent poor prognostic biomarkers for patients with astrocytomas."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,27618366,"Data show that galeterone (gal) and VNPT55 inhibit migration and invasion of prostate cancer cells, possibly by down-regulating protein expression via antagonizing the Mnk1/2-eIF4E axis."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,27418099,"MNK-1 controls chemokine secretion and proliferation in human airway smooth muscle cells."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,27413184,"data suggest a physiological role for MNK1a-Ser(353) phosphorylation in regulation of the MNK1a kinase, which correlates with increased eIF4E phosphorylation in vitro and in vivo."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,27271309,"MNK1 encodes a Ser/Thr protein kinase that interacts with extracellular signal-regulated kinase 1 and p38 mitogen-activated protein kinase, a pathway that is involved in Blood Pressure regulation through norepinephrine and angiotensin II."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,26668315,"Data suggest MNK1/MNK2 stimulate mRNA translation but only of mRNA containing both 5-prime-terminal cap and hairpin duplex; this stimulation involves up-regulation of phosphorylation/mRNA un-winding activity of eIF4E (via decreased binding to eIF4G)."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,26147685,"Data show that interferon-gamma regulated the metabolism and mRNA translation of macrophages by targeting the kinases mTORC1 and MNK1/2, both of which converge on the selective regulator of translation initiation eukaryotic initiation factor-4E (eIF4E)."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,25605250,"Simultaneous targeting of androgen receptor and MNK1 by novel retinamides inhibits growth of human prostate cancer cell lines."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,25527453,"Data suggest that a combined pharmacologic inhibition of mTORC1 and Mnk1/2 kinases offers a therapeutic opportunity in blast crisis-chronic myeloid leukemia (BC-CML)."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,25403230,"MNK1 and MNK2 inhibition ablates eIF4E1 phosphorylation and concurrently enhances eIF4E3 expression in diffuse large B-cell lymphoma."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,25187541,"ERK1/2 signal induced MNK catalytic activity enabled enterovirus type 1 internal ribosomal entry site-mediated translation/host cell cytotoxicity through negative regulation of the Ser/Arg (SR)-rich protein kinase (SRPK)."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,25187540,"Authors show that MNK regulates SRPK via mTOR and AKT."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,24714040,"These data indicate multiple myeloma cells exploit the MNK/eIF-4E pathway for selective mRNA translation without enhancing global translation and risking ER stress."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,24551240,"High expression of p-Mnk1 and p-eIF4E might be novel valuable biomarkers to predict poor prognosis of nasopharyngeal carcinoma."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,24401275,"rapalog-activated MNK1 signaling promotes glioma growth through regulation of 4EBP1; there is a molecular cross-talk between the mTORC1 and MNK1 pathways"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,23814052,"These findings provide evidence for key and essential roles of the Mnk kinase pathway in the generation of the antineoplastic effects of type I IFNs in Jak2V617F-dependent myeloproliferative neoplasms."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,23737503,"Our findings identify the MNK-eIF4E axis as a specific and critical regulator of blast crisis self-renewal, and suggest that pharmacologic inhibition of the MNK kinases may be therapeutically useful in BC chronic myeloid leukemia."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,23401599,"MNK1, which participates in translational control in several cell types, is activated in response to physiological neutrophil agonists (LPS, TNF-alpha) in the cytoplasmic and nuclear compartments."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,23365451,"Chemical inhibition or siRNA knockdown of MKNK1 significantly impaired entry of genotype 1a hepatitis C virus in Huh-7 cells but had only minimal impact on viral RNA replication or cell proliferation and viability."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,23359369,"TGFbeta induces signaling involving PI3kinase-dependent Mnk-1-mediated phosphorylation of eIF4E at Ser-209 to facilitate mesangial cell hypertrophy. A role for dissociation of 4EBP-1-eIF4E complex for Mnk-1-mediated phosphorylation of eIF4E."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,22454512,"MNK1 kinase activity is required for abscission."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,22249268,"Resistance to trastuzumab was observed in tumor cells with elevated MNK1 expression, furthermore, inhibition of RSK1 restored sensitivity to resistant cells."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,22227431,"These data suggest that MNK1 regulates the phosphorylation and the subcellular distribution of hnRNP A1 and that MNK1 may play a role in the induction of senescence"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,21949767,"These findings indicate that the combined inhibition of mTORC1 and MNK may prove beneficial in the treatment of cutaneous T-cell lymphoma and other malignancies."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,21576361,"Data show that PKCalpha activation elicits a cascade of orchestrated phosphorylation events that may modulate eIF4G1 structure and control interaction with the eIF4E kinase, Mnk1."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,21406405,"Findings offer insights into how MNK1 pathways control translation of cancer-related mRNAs including SMAD2, a key component of the TGF-beta signaling pathway."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,21149447,"siRNA-mediated Mnk1/2 knockdown results in partial reversal of the suppressive effects of IFNgamma on human CD34+-derived myeloid (CFU-GM) and erythroid (BFU-E) progenitors."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,20805296,"Observational study of gene-disease association, gene-gene interaction, gene-environment interaction, and pharmacogenomic / toxicogenomic. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,20686366,"Data suggest that a proportion of breast cancers could be sensitive to inhibiting MNK kinase activity, and that the presence of phosphorylated eIF4E could provide a biomarker for the identification of responsive tumours."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,20379614,"Clinical trial of gene-disease association and gene-environment interaction. (HuGE Navigator)"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,19650764,"A conserved phenylalanine residue in an Mnk-specific insert is playing a key role in governing the ease with which Mnk1a can be phosphorylated."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,17724079,"mTOR inhibition increases eIF4E phosphorylation through a PI3K-dependent and Mnk-mediated mechanism."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,17590453,"The activity of MKNK1 was characterized."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,16763222,"Data show that inorganic phosphate controls cell growth by activating ERK1/2 cascades and by facilitating the translocation of Mnk1 from cytosol into nucleus through an Akt-mediated MEK pathway."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,16479008,"Mnk1-mediated serine phosphorylation of Spry2 constitutes a regulatory mechanism to extend the temporal range of Spry2 activity."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,15581611,"Data show that Mnk1 suppression decreases eukaryotic initiation factor 4F phosphorylation without causing any change in global protein synthesis rate and cell proliferation."
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,15563472,"Interleukins 2 and 15 regulate Ets1 expression via ERK1/2 and MNK1 in human natural killer cells"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,15516979,"role for MNK1 in the AML fusion protein-associated differentiation block"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,15234964,"Mnk1 phosphorylation by caspase-activated Pak2/gamma-PAK inhibits phosphorylation and interaction of eIF4G with Mnk"
https://pharos.nih.gov/idg/targets/Q9BUB5,Q9BUB5,15220445,"Adenovirus 100K protein blocks cellular protein synthesis by coopting eIF4G and cap-initiation complexes and displacing or blocking binding by Mnk1, which occurs only on preassembled complexes, resulting in dephosphorylation of eIF4E."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,23853095,"PASK phosphorylates and inactivates GSK3beta, thereby preventing PDX-1 serine phosphorylation and alleviating GSK3beta-mediated PDX-1 protein degradation in pancreatic beta-cells."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,23721480,"Mutations that affect PAS domain cause a severe protein trafficking defect and change the interactions with Kv11.1 channels."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,22219681,"The role of PAS kinase in PASsing the glucose signal."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,22065581,"Per-Arnt-Sim (PAS) domain-containing protein kinase (PASK) has a role in insulin hypersecretion"
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,21181396,"PASK is involved in the regulation of glucagon secretion by glucose and may be a useful target for the treatment of type 2 diabetes."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,20943661,"Structural bases of PAS domain-regulated kinase (PASK) activation in the absence of activation loop phosphorylation."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,17595531,"identified the multifunctional eukaryotic translation elongation factor eEF1A1 as a novel interaction partner of PASKIN in the nuclei of testis germ cells and in the midpiece of sperm tails"
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,15148392,"Results suggest that elevated glucose concentrations rapidly increase Per-Arnt-Sim kinase activity in pancreatic islet beta cells, followed by up-regulation by glucose of preproinsulin and pancreatic duodenum homeobox 1 gene expression."
https://pharos.nih.gov/idg/targets/Q96RG2,Q96RG2,11688972,"molecular cloning, gene expression, and comparison with mouse protein"
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,28711359,"In the modeled structure of inactive MARK2, activation segment occludes the enzyme active site and assumes a relatively stable position."
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,27878245,"In conclusion, baicalin and DDP were synergistic at inhibiting proliferation and invasion of human lung cancer cells at appropriate dosages and incubation time in the presence or absence of DDP resistance. The attenuation of DDP resistance was associated with downregulation of MARK2 and p-Akt."
https://pharos.nih.gov/idg/targets/Q7KZI7,Q7KZI7,25907283,"MARK2 plays a role in promoting malignant phenotypes of lung cancer."
