"URL","Uniprot ID","GeneSymbol","Name","Description","Development Level","DTOClass","PantherClass","Novelty","Target Family","PatentCount","AntibodyCount","PubmedCount","Knowledge Availability","PubmedScore","PubtatorScore","PMIDs"
https://pharos.nih.gov/idg/targets/P43220,P43220,GLP1R,"Glucagon-like peptide 1 receptor","G-protein coupled receptor for glucagon-like peptide 1 (GLP-1) (PubMed:8405712, PubMed:8216285, PubMed:7517895, PubMed:19861722, PubMed:26308095, PubMed:27196125, PubMed:28514449). Ligand binding triggers activation of a signaling cascade that leads to the activation of adenylyl cyclase and increased intracellular cAMP levels (PubMed:8405712, PubMed:8216285, PubMed:7517895, PubMed:19861722, PubMed:26308095, PubMed:27196125, PubMed:28514449). Plays a role in regulating insulin secretion in response to GLP-1 (By similarity).",Tclin,"Glucagon receptor",,-2.9205944264163497,GPCR,21409,306,173,29.03,820.54,848.84,29045658|28609478|28562585|28514449|28283573|28230449|28094469|28077257|28035964|27974199|27858848|27569426|27562916|27447052|27226600|27208775|27196125|27100083|27072494|27068973|27059958|27059816|27059784|27043162|27042424|27038451|27037787|27037706|27013681|26975372|26969516|26968296|26936963|26936426|26886440|26874994|26847401|26835799|26803771|26798195|26795291|26795287|26787264|26782560|26773924|26700562|26694823|26679229|26672638|26661514|26655814|26640129|26636423|26598711|26495786|26384381|26381270|26308095|26272612|26238361|26198634|26116235|26080318|26015316|25991051|25915883|25903129|25785276|25669907|25561730|25502804|25483438|25451942|25416956|25376673|25376528|25330813|25200998|25119061|25071023|24969551|24878048|24687535|24679032|24624910|24577752|24467746|24334921|24326362|24307763|24275181|23879380|23864651|23806684|23803499|23592482|23362875|23091034|22693487|22492091|22412906|22147710|22147709|22112810|22105074|22079758|22031513|21952200|21901419|21868452|21862620|21745271|21744074|21663496|21616920|21562063|21095545|21046358|20869417|20835917|20823098|20805279|20800603|20690636|20649595|20628086|20529866|20483198|20468064|20452396|20374430|20347207|20225248|20002095|19913121|19890029|19861722|19859570|19820010|19815559|19755420|19386626|19077438|18577758|18541709|18372345|18287102|18240029|17475961|17444618|16931572|16644694|15975668|15686481|15670850|15528268|15489334|15364163|14574404|12477932|12036966|12034449|11116211|11076863|10990079|10382665|9213353|8405712|8404634|8392011|8216285|8194659|8112494|7958545|7843404|7589461|7517895
https://pharos.nih.gov/idg/targets/P47872,P47872,SCTR,"Secretin receptor","This is a receptor for secretin. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.",Tclin,"Glucagon receptor",,-1.5817575579119532,GPCR,10177,193,44,24.23,34.83,90.78,27330080|27115285|26740626|26397240|25241033|23264731|23168245|22964305|22565418|21851058|19904746|19886671|18680717|18401761|18240029|18223557|17711922|17678920|16935383|16819820|16344560|16192632|15815621|15706223|15670850|14702039|14645499|12477932|12036966|11517171|10537138|10437774|9506976|9453500|9440501|8579602|8575789|8390245|7864894|7782300|7700244|7612008|3186683|1646711|1335692
https://pharos.nih.gov/idg/targets/Q02643,Q02643,GHRHR,"Growth hormone-releasing hormone receptor","Receptor for GRF, coupled to G proteins which activate adenylyl cyclase. Stimulates somatotroph cell growth, growth hormone gene transcription and growth hormone secretion.",Tclin,"Glucagon receptor",,-2.1048593395513966,GPCR,5628,205,84,30.28,137.99,180.06,27501283|27114065|27031974|26917260|26535981|25761575|25752763|25541890|25153028|24479854|24057284|23789946|23602557|23052699|22489751|22160161|21995288|21816782|21044116|20819778|20810604|20734064|20634197|20628086|20453000|20424473|20374725|19965916|19913121|19897610|19733620|19640273|19622623|19567534|19524226|19487270|19453261|19209235|19086053|19029774|18785993|18629632|18577758|18255167|18240029|18034778|17546465|17356054|16959974|16820890|16606630|16344560|16284391|16214911|15944917|15362970|12867592|12853948|12794696|12690205|12656663|12606621|12534354|12444890|12424433|12364462|12220735|12220726|12126741|12036966|11773624|11232012|10962031|10461027|10429879|10084571|9814493|9482665|9467553|8528260|8188233|7680413|7629234|7559877|1333056
https://pharos.nih.gov/idg/targets/P41587,P41587,VIPR2,"Vasoactive intestinal polypeptide receptor 2","This is a receptor for VIP as well as PACAP-38 and -27, the activity of this receptor is mediated by G proteins which activate adenylyl cyclase. Can be coupled to phospholipase C.",Tchem,"Class B secretin like",,-2.2066832684544115,GPCR,16353,255,66,33.12,142.08,99.26,27381006|27156032|26881970|26304033|24827637|24794882|24722188|24469917|23818986|23637909|23406873|23073313|22961270|22886412|22763881|21769421|21721910|21711977|21346763|20691743|20554694|20395540|20379146|20198315|20180986|20072116|20026142|19851296|19470168|19269029|19086053|18577758|18383383|18240029|17883247|17257640|17077178|16934434|16888203|16572459|16552823|16500728|15489334|15302876|15090046|14702039|12853948|12690205|12477932|12150135|12036966|11728828|11351046|11193874|11160313|11072126|10801840|10764955|10481065|9629281|9541464|9454823|8938447|8933357|8926282|8757618|8146174|7811244|7733904
https://pharos.nih.gov/idg/targets/P41586,P41586,ADCYAP1R1,"Pituitary adenylate cyclase-activating polypeptide type I receptor","This is a receptor for PACAP-27 and PACAP-38. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. May regulate the release of adrenocorticotropin, luteinizing hormone, growth hormone, prolactin, epinephrine, and catecholamine. May play a role in spermatogenesis and sperm motility. Causes smooth muscle relaxation and secretion in the gastrointestinal tract.",Tchem,"Class B secretin like",,-1.9811061086387178,GPCR,19732,184,75,35.44,94.82,168.00,28356352|27959335|26700245|26343289|26334183|25918834|25680674|25147783|24696141|24516127|24220567|23981011|23972788|23818986|23505260|23394710|23382219|23328528|23280952|23147486|22961270|22776899|22609358|22581436|22539193|21912390|21625560|21621269|21350482|21185349|20395540|20026142|19926922|19269029|19086053|18577758|18353507|18240029|17470806|16939974|16888199|16823490|16805430|16572459|16401644|16372333|16344560|16226889|15670850|15518890|15489334|14742913|14702039|12948842|12853948|12732341|12690205|12573802|12477932|12409233|12409223|12036966|11959368|11930171|10764955|10698193|10583729|10562300|10235634|9543159|8954788|8933357|8770902|8703026|8663363|8253796|7902709|7851900
https://pharos.nih.gov/idg/targets/O95838,O95838,GLP2R,"Glucagon-like peptide 2 receptor","This is a receptor for glucagon-like peptide 2. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.",Tclin,"Glucagon receptor",,-1.4585535606466344,GPCR,3733,221,24,21.92,24.51,29.84,24990862|24875097|22951144|21326311|21167157|20800603|20628086|20468064|20379614|19913121|19861958|18829546|18240029|16448646|16401478|15817468|15670850|15544847|15489334|15471943|12477932|11738243|11238747|10982769|9990065
https://pharos.nih.gov/idg/targets/P30988,P30988,CALCR,"Calcitonin receptor","This is a receptor for calcitonin. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. The calcitonin receptor is thought to couple to the heterotrimeric guanosine triphosphate-binding protein that is sensitive to cholera toxin.",Tclin,"Calcitonin receptor",,-2.6114246031221393,GPCR,,0,87,40.16,364.52,556.89,28614667|28437792|28435134|26895962|25402775|25055932|24643196|24522475|24296906|23820954|23202124|23137636|22946511|22500019|22335784|21462477|21033393|20961463|20654748|20424473|19946674|19913121|19903822|19692168|19625176|19453261|19447889|19445988|19255718|19170196|18676680|18622089|18240029|17714780|17709929|17487556|16713399|16412323|16363366|16280328|15966503|15929987|15860547|15856322|15670850|15563840|15490304|15489334|15340161|15279076|15155765|15086532|14722252|14702039|14614653|14583624|12905735|12853948|12771454|12690205|12565884|12531889|12517415|12477932|12375338|12036966|12016463|11560994|11464063|11353946|11298188|11250927|11136533|10882736|10865224|10860825|10570950|10385705|9817931|9675109|9571205|8143880|8078488|7961748|7789182|7769107|7733946|7720653|7619207|7588285|4961748|1331173
https://pharos.nih.gov/idg/targets/P49190,P49190,PTH2R,"Parathyroid hormone 2 receptor","This is a specific receptor for parathyroid hormone. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase. PTH2R may be responsible for PTH effects in a number of physiological systems. It may play a significant role in pancreatic function. PTH2R presence in neurons indicates that it may function as a neurotransmitter receptor (By similarity).",Tchem,"Parathyroid hormone receptor",,-1.4442381703629006,GPCR,2494,123,24,28.68,27.99,28.72,27000502|26044810|25416956|24529757|24378925|23092913|22637743|21756942|19401215|18539702|18459453|18280230|18240029|15670850|15489334|14988434|12834174|12477932|12036966|11861531|10854439|9482662|8921382|7797535
https://pharos.nih.gov/idg/targets/P48546,P48546,GIPR,"Gastric inhibitory polypeptide receptor","This is a receptor for GIP. The activity of this receptor is mediated by G proteins which activate adenylyl cyclase.",Tchem,"Glucagon receptor",,-1.8162548284756015,GPCR,4460,347,66,31.50,78.69,59.99,28179449|27641811|26395740|26225752|25591947|25321336|25047836|24861553|24565507|24512489|24509480|24446656|24238043|24086540|23689510|23563607|22956255|22589738|22412906|22399504|22344221|22344219|22237064|22112810|22027838|21789219|21554434|20935630|20799012|20516203|20424473|20185807|20081857|20061446|19386626|19254363|19211686|19195718|18971217|18577758|18240029|17715056|17624916|17395281|17121608|16087722|15666829|15655707|15489334|15111503|15057824|12721154|12627975|12530694|12530665|12477932|12036966|10698200|10698169|9709947|8795084|8575774|8243312|7589426|7556958|7490109
https://pharos.nih.gov/idg/targets/P47871,P47871,GCGR,"Glucagon receptor","G-protein coupled receptor for glucagon that plays a central role in the regulation of blood glucose levels and glucose homeostasis. Regulates the rate of hepatic glucose production by promoting glycogen hydrolysis and gluconeogenesis. Plays an important role in mediating the responses to fasting. Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of down-stream effectors, such as adenylate cyclase. Promotes activation of adenylate cyclase. Besides, plays a role in signaling via a phosphatidylinositol-calcium second messenger system.",Tclin,"Glucagon receptor",,-2.2753227983521827,GPCR,64408,368,46,27.04,161.60,236.28,28586439|28514451|28508109|28356352|27226600|27111510|27094704|26227798|25695890|25451942|24749050|24527772|24359917|24275569|23863937|23407487|23185367|22908259|22893257|22438981|22119466|21680267|20647307|19903011|19657311|19578796|19051206|18240029|17374560|16221670|15489334|12724331|12626323|12536714|12477932|12036966|11961492|11707539|9287038|9105899|8563746|8382034|8144028|8020989|7773293|7589886|7507321|6303843|1908089|165216
